6860	-0.01	-0.05
6890	-0.01	-0.02
6921	0.01	0.07
6950	0.02	0.09
6980	0.02	0.11
7011	0.04	0.15
7041	0.06	0.19
7070	0.07	0.19
7101	0.08	0.22
7131	0.07	0.09
7161	0.08	0.13
7191	0.07	0.03
7221	0.07	0.04
7251	0.08	0.11
7281	0.08	0.09
7312	0.07	0.04
7342	0.06	0.04
7371	0.07	0.06
7402	0.07	0.08
7432	0.06	0.02
7462	0.08	0.14
7492	0.09	0.19
7522	0.08	0.11
7553	0.08	0.09
7582	0.07	0.03
7613	0.08	0.07
7643	0.10	0.17
7672	0.08	0.08
7703	0.06	-0.02
7733	0.07	0.02
7763	0.08	0.07
7793	0.08	0.12
7823	0.07	0.06
7854	0.09	0.13
7883	0.10	0.17
7914	0.11	0.22
7944	0.12	0.25
7973	0.13	0.22
8004	0.12	0.16
8034	0.12	0.12
8065	0.12	0.10
8094	0.11	0.05
8124	0.12	0.11
8155	0.10	0.06
8184	0.11	0.11
8214	0.10	0.08
8245	0.10	0.05
8274	0.09	0.06
8305	0.10	0.10
8335	0.10	0.09
8366	0.08	0.01
8395	0.08	0.01
8425	0.07	-0.01
8456	0.08	0.06
8485	0.08	0.12
8516	0.08	0.10
8546	0.08	0.11
8576	0.09	0.11
8606	0.07	0.03
8636	0.06	-0.01
8667	0.06	-0.03
8696	0.04	-0.10
8726	0.03	-0.08
8757	0.04	-0.01
8786	0.04	0.02
8817	0.02	-0.04
8847	0.03	0.01
8877	0.02	-0.02
8907	0.00	-0.08
8937	-0.02	-0.17
8968	-0.02	-0.15
8997	-0.04	-0.16
9027	-0.03	-0.08
9058	-0.04	-0.11
9088	-0.07	-0.20
9117	-0.08	-0.20
9148	-0.08	-0.18
9178	-0.08	-0.14
9208	-0.10	-0.20
9238	-0.10	-0.17
9269	-0.11	-0.19
9298	-0.12	-0.20
9328	-0.13	-0.23
9359	-0.14	-0.25
9389	-0.15	-0.23
9419	-0.16	-0.24
9449	-0.15	-0.19
9479	-0.16	-0.21
9509	-0.17	-0.21
9539	-0.16	-0.16
9570	-0.16	-0.14
9600	-0.16	-0.16
9629	-0.16	-0.15
9660	-0.15	-0.11
9690	-0.15	-0.13
9720	-0.16	-0.17
9750	-0.14	-0.10
9780	-0.13	-0.03
9810	-0.12	-0.01
9840	-0.12	-0.05
9871	-0.12	-0.09
9901	-0.10	-0.02
9930	-0.10	-0.05
9961	-0.09	-0.01
9991	-0.09	-0.03
10021	-0.09	-0.06
10051	-0.08	-0.02
10081	-0.08	-0.07
10112	-0.09	-0.11
10141	-0.08	-0.05
10172	-0.07	-0.02
10202	-0.06	0.01
10231	-0.05	0.06
10262	-0.03	0.10
10292	-0.03	0.04
10322	-0.04	-0.01
10352	-0.03	-0.02
10382	-0.03	-0.01
10413	-0.02	0.03
10442	-0.02	0.00
10472	-0.01	0.04
10503	-0.02	-0.03
10532	-0.02	-0.02
10563	-0.02	-0.03
10593	-0.03	-0.09
10624	-0.03	-0.07
10653	-0.02	0.02
10683	-0.02	0.00
10714	-0.01	0.05
10743	-0.01	0.05
10774	-0.01	0.02
10804	-0.02	-0.04
10833	-0.01	-0.03
10864	-0.01	-0.02
10894	-0.00	0.03
10925	-0.00	0.03
10954	-0.00	0.03
10984	-0.00	0.01
11015	0.00	0.03
11044	0.01	0.05
11074	0.02	0.08
11105	0.02	0.07
11134	0.02	0.06
11165	0.01	0.01
11195	0.00	-0.06
11226	0.01	-0.03
11255	-0.01	-0.10
11285	-0.02	-0.10
11316	-0.01	-0.04
11345	-0.02	-0.08
11376	-0.02	-0.04
11406	-0.03	-0.07
11436	-0.02	-0.03
11466	-0.04	-0.11
11496	-0.04	-0.10
11526	-0.05	-0.12
11556	-0.06	-0.12
11586	-0.05	-0.07
11617	-0.05	-0.04
11646	-0.03	0.04
11677	-0.03	0.03
11707	-0.03	0.02
11737	-0.03	-0.01
11767	-0.03	-0.05
11797	-0.03	-0.03
11828	-0.02	0.01
11857	-0.03	-0.02
11887	-0.03	-0.03
11918	-0.03	-0.03
11948	-0.02	0.01
11978	-0.02	-0.02
12008	-0.03	-0.05
12038	-0.02	-0.02
12068	-0.01	0.05
12098	-0.00	0.07
12129	-0.01	0.04
12158	-0.01	-0.01
12188	0.00	0.05
12219	0.01	0.05
12249	0.01	0.06
12279	0.01	0.04
12309	0.01	0.03
12339	0.02	0.06
12369	0.02	0.06
12399	0.02	0.02
12429	0.02	0.03
12460	0.03	0.05
12489	0.03	0.06
12520	0.03	0.05
12550	0.02	0.01
12579	0.02	-0.01
12610	0.04	0.09
12640	0.03	0.06
12670	0.05	0.15
12700	0.05	0.13
12730	0.05	0.07
12761	0.06	0.13
12790	0.06	0.10
12821	0.07	0.14
12851	0.07	0.09
12881	0.07	0.07
12911	0.07	0.07
12941	0.06	0.03
12971	0.08	0.11
13001	0.08	0.11
13031	0.09	0.17
13062	0.08	0.11
13091	0.09	0.13
13122	0.11	0.19
13152	0.12	0.25
13181	0.13	0.25
13212	0.13	0.20
13242	0.14	0.23
13273	0.14	0.18
13302	0.14	0.15
13332	0.14	0.12
13363	0.14	0.13
13392	0.13	0.10
13423	0.14	0.13
13453	0.13	0.11
13483	0.13	0.13
13513	0.13	0.14
13543	0.14	0.16
13573	0.12	0.07
13603	0.12	0.05
13633	0.11	0.04
13664	0.11	0.07
